18,1,0.033132133333333334,PonPokoAgent@2,(Offer  bid:Bid[Number of Wind Turbines: larger than 20, less than or equal to 40, Price Per Wind Turbine: expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
18,2,0.03368126666666667,boa-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NTFTstrategy@3,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: very cheap, Sound: loud and noisy, Spacing: as close as possible, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
19,1,0.034151966666666665,PonPokoAgent@2,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
19,2,0.034696033333333334,boa-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NTFTstrategy@3,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: very cheap, Sound: loud and noisy, Spacing: as close as possible, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
20,1,0.035211066666666666,PonPokoAgent@2,(Offer  bid:Bid[Number of Wind Turbines: larger than 40, less than or equal to 60, Price Per Wind Turbine: expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
20,2,0.035928966666666666,boa-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NTFTstrategy@3,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: very cheap, Sound: loud and noisy, Spacing: as close as possible, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
21,1,0.036505333333333334,PonPokoAgent@2,(Offer  bid:Bid[Number of Wind Turbines: larger than 60, less than or equal to 80, Price Per Wind Turbine: very expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: onshore, Material: carbon fiber])
21,2,0.03721883333333333,boa-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NTFTstrategy@3,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: very cheap, Sound: loud and noisy, Spacing: as close as possible, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
22,1,0.0377234,PonPokoAgent@2,(Offer  bid:Bid[Number of Wind Turbines: larger than 20, less than or equal to 40, Price Per Wind Turbine: expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
22,2,0.038310833333333336,boa-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NTFTstrategy@3,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: very cheap, Sound: loud and noisy, Spacing: as close as possible, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
23,1,0.0387833,PonPokoAgent@2,(Offer  bid:Bid[Number of Wind Turbines: larger than 140, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: largest in the world, Onshore or Offshore: onshore, Material: carbon fiber])
23,2,0.039303899999999996,boa-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NTFTstrategy@3,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: very cheap, Sound: loud and noisy, Spacing: as close as possible, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
24,1,0.0397163,PonPokoAgent@2,(Offer  bid:Bid[Number of Wind Turbines: larger than 40, less than or equal to 60, Price Per Wind Turbine: very expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: onshore, Material: carbon fiber])
24,2,0.040217166666666665,boa-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NTFTstrategy@3,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: very cheap, Sound: loud and noisy, Spacing: as close as possible, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
25,1,0.0406507,PonPokoAgent@2,(Offer  bid:Bid[Number of Wind Turbines: larger than 80, less than or equal to 100, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smallest in the world, Onshore or Offshore: onshore, Material: carbon fiber])
25,2,0.041317733333333335,boa-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NTFTstrategy@3,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: very cheap, Sound: loud and noisy, Spacing: as close as possible, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
26,1,0.04178846666666666,PonPokoAgent@2,(Offer  bid:Bid[Number of Wind Turbines: larger than 60, less than or equal to 80, Price Per Wind Turbine: expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smallest in the world, Onshore or Offshore: onshore, Material: carbon fiber])
26,2,0.04262673333333333,boa-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NTFTstrategy@3,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: very cheap, Sound: loud and noisy, Spacing: as close as possible, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
27,1,0.0430593,PonPokoAgent@2,(Offer  bid:Bid[Number of Wind Turbines: larger than 140, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: glass fiber])
27,2,0.043512999999999996,boa-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.stavy.eclipse.workspace.gitrepo.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-negotiator.boaframework.omstrategy.NTFTstrategy@3,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: very cheap, Sound: loud and noisy, Spacing: as close as possible, Size Of Wind Turbines: average size of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
28,1,0.043945333333333336,PonPokoAgent@2,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
